state,has_sepa
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,1
Colorado,0
Connecticut,1
Delaware,0
Florida,0
Georgia,1
Hawaii,1
Idaho,0
Illinois,0
Indiana,1
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,1
Massachusetts,1
Michigan,0
Minnesota,1
Mississippi,0
Missouri,0
Montana,1
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,1
New Mexico,0
New York,1
North Carolina,1
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,0
Rhode Island,0
South Carolina,0
South Dakota,1
Tennessee,0
Texas,0
Utah,0
Vermont,0
Virginia,1
Washington,1
West Virginia,0
Wisconsin,1
Wyoming,0
