Company,Facility/Project,Investment_USD_millions,City,County,State,Latitude,Longitude,Announcement_Date,Source,
Anduril Industries,Arsenal-1 hyperscale manufacturing campus (military drones & autonomous air vehicles),910.5,Columbus region (near Rickenbacker International Airport),Pickaway County,OH,,,2025-01-16,AP News; Site Selection; JobsOhio,
Performance Drone Works (PDW),Drone Factory 01 (tactical drones),,Huntsville,Madison County,AL,,,2025-08-21,Axios Huntsville; Made in Alabama,
AeroVironment,FreedomWerx manufacturing facility,42.25,Salt Lake City,Salt Lake County,UT,,,2025-02-13,AeroVironment press release; AreaDevelopment,
AeroVironment,R&D and manufacturing center,12.5,Germantown,Montgomery County,MD,,,2025-07-21,ThinkMoCo; The Daily Record,
XTEND,U.S. production line (drone manufacturing),,Tampa,Hillsborough County,FL,,,2025-07-04,Techtime,
RapidFlight,"Headquarters + design & production facility (25,000 sq ft)",5.5,Manassas,Manassas (Independent City),VA,,,2022-09-23,Virginia Governor news release; RapidFlight press; Area Development,
BRINC Drones,"Seattle HQ + co-located R&D and production (20,000 sq ft)",,Seattle,King County,WA,,,2022-08-08,BRINC timeline; TechXplore; SUAS News/GeekWire (manufacturing details in 2023),
Matternet,M2 production (FAA Production Certificate),,Mountain View,Santa Clara County,CA,,,2022-12-01,DroneLife; sUAS News; Matternet,
Skydio,"Hayward manufacturing facility (36,000+ sq ft expansion)",,Hayward,Alameda County,CA,,,2023-02-27,Skydio blog; IndustryWeek; DroneLife,
AEVEX Aerospace,"Unmanned Systems manufacturing facility ramp-up (""Drone Factory of the Future"")",,Tampa,Hillsborough County,FL,,,2024-07-10,Expansion/Ramp-up (facility opened 2023),"AEVEX press (Jul 10, 2024)"
Neros,New drone factory (planned),10.9,,,,,,2024-05-20,Announced intention; location TBD,"Reuters (May 20, 2024)"
Packet Digital / Badland Batteries,U.S. drone battery cell manufacturing plant,,Fargo,Cass County,ND,,,2024-07-31,Site secured; construction 2024; production by end of 2025,"DroneLife (Jul 31, 2024)"
